Timestamp,Age,Gender,Shoe Size,Height,What degree are you studying?,Why are you taking this course?,Which programming languages do you know?,Which phone OS do you prefer?,Which topics would you prefer to learn in this course? [Design efficient databases for large amounts of data],Which topics would you prefer to learn in this course? [Create predictive models (e.g. weather or stock market prediction)],Which topics would you prefer to learn in this course? [Define groups of similar objects (e.g. users from a dating site)],Which topics would you prefer to learn in this course? [Visualise data],Which topics would you prefer to learn in this course? [Study patterns on sets (e.g. Amazon shopping carts)],Which topics would you prefer to learn in this course? [Study patterns on sequences (e.g. exercises on a workout session)],Which topics would you prefer to learn in this course? [Study patterns on graphs (e.g. Facebook)],Which topics would you prefer to learn in this course? [Study patterns on text (e.g. spam mail)],Which topics would you prefer to learn in this course? [Study patterns on images (e.g. face detection)],Which topics would you prefer to learn in this course? [Code data mining algorithms],Which topics would you prefer to learn in this course? [Use off-the-shelf data mining tools],Which of these games have you played?,How do you commute to ITU? ,In which order do you normally traverse these ITU locations?  [1 checkpoint],In which order do you normally traverse these ITU locations?  [2 checkpoint],In which order do you normally traverse these ITU locations?  [3 checkpoint],In which order do you normally traverse these ITU locations?  [4 checkpoint],In which order do you normally traverse these ITU locations?  [5 checkpoint],In which order do you normally traverse these ITU locations?  [6 checkpoint],In which order do you normally traverse these ITU locations?  [7 checkpoint],In which order do you normally traverse these ITU locations?  [8 checkpoint],In which order do you normally traverse these ITU locations?  [9 checkpoint],In which order do you normally traverse these ITU locations?  [10 checkpoint],In which order do you normally traverse these ITU locations?  [11 checkpoint],In which order do you normally traverse these ITU locations?  [12 checkpoint],In which order do you normally traverse these ITU locations?  [13 checkpoint],In which order do you normally traverse these ITU locations?  [14 checkpoint],In which order do you normally traverse these ITU locations?  [15 checkpoint],Write four (4) random numbers between 0 and 15,therb fortt glag,Pick a number,Favorite film?,Favorite TV-Show,Favorite Game,Which row are you sitting/did you sit in during the introduction lecture?,Which seat are you sitting/did you sit on during the introduction lecture?
2017/01/30 10:21:13 AM CET,26,Male,42,182,SWU,I am interested in the subject,"Python, JavaScript, MatLab, C++, Java, C, PHP",iOS,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Angry Birds,Bike,Basement,Elevator,Atrium,Study Room,Elevator,Analog,Elevator,Class/Auditorium,Elevator,Atrium,Canteen,Atrium,ScrollBar,Elevator,Basement,"15,6,8,2",Option 1,7,Timetravel,The Wire,Factorio,6,6
2017/01/30 10:21:21 AM CET,27,Male,42,175,SDT-DT,I am interested in the subject,Java,iOS,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Wordfeud;Angry Birds,Bike;Bus;Metro,Basement,Atrium,Canteen,Elevator,Class/Auditorium,Study Room,Analog,Library,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,14 8 11 0,Option 1,7,Into The Wild,GoT,Heroes of Might and Magic III,G,10
2017/01/30 10:21:28 AM CET,28,Male,45,185,SDT-DT,This was a mandatory course for me,"Java, Python, Javascript, ",iOS,Very interesting,Very interesting,Sounds interesting,Very interesting,Meh,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Angry Birds,Bike;Metro,Basement,Atrium,Class/Auditorium,Canteen,Class/Auditorium,Analog,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,2 3 11 14,,13,Scarface,None,Civilization,B,0
2017/01/30 10:21:31 AM CET,24,Male,45,185,SDT-DT,I am interested in the subject,"C, R, Java, VBA",Android,Meh,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Battlefield 4;Call of Duty: Black Ops;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds,Bike,Basement,Atrium,Canteen,Atrium,Canteen,Atrium,Class/Auditorium,Atrium,ScrollBar,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"4,8,1,15",,9,"Scent of a woman, Lord of the Rings, Harry Potter",None,Dota 2,G,12
2017/01/30 10:21:31 AM CET,24,Male,45,190,GAMES-T,This was a mandatory course for me,"C#, C++, Java",Android,Meh,Very interesting,Meh,Sounds interesting,Not interested,Very interesting,Not interested,Not interested,Very interesting,Very interesting,Sounds interesting,Minecraft;Angry Birds;The Last of Us,Bike,Basement,Atrium,Class/Auditorium,Canteen,Class/Auditorium,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0, 7, 13, 4",Option 1,13,"Fight Club, Drive, Pulp Fiction","Monty Python's Flying Circus, Daredevil","The Witcher Series, Mass Effect, Dragon Age: Origins, Binding Of Isaac",B,5
2017/01/30 10:21:35 AM CET,25,Male,44,178,SDT-DT,I am interested in the subject,"C#, Java, JavaScript",Android,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Very interesting,Sounds interesting,Sounds interesting,Rocket League;Counter Strike_ GO,Walk;Bus;Metro,Not at ITU,Class/Auditorium,Analog,Atrium,Canteen,Basement,Not at ITU,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1,8,9,10",,Asparagus,Attack of the Jurassic Shark (2/10 on IMDB),"Breaking Bad, Parks & Recreation",DOTA 2,B,8
2017/01/30 10:21:41 AM CET,26,Man,42,171,SDT-SE,I am interested in the subject,"C#, Java, Javascript",Windows,Meh,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Not interested,Sounds interesting,Sounds interesting,Sounds interesting,Minecraft;FarmVille;Fifa 2017;Star Wars Battlefield;Battlefield 4;Stanley Parable;Call of Duty: Black Ops;Rise of the Tomb Raider;Fallout 4;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds,Train;Car,Analog,Atrium,Elevator,Class/Auditorium,Study Room,Canteen,Library,ScrollBar,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"2,4,2.34,6.786",Option 1,9,The Godfather,Family Guy,Civilization,4th from the front - D,4
2017/01/30 10:21:47 AM CET,27,Male,44,189,SWU,The other optional courses were least appealing,"Python, Java, C++, C#, F#",iOS,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Sounds interesting,Minecraft;Angry Birds,Bike,Basement,Class/Auditorium,Atrium,Canteen,Atrium,Class/Auditorium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0,1,2,3",Option 1,9,"Whiplash, Shawshank Redemption","Game of Thrones, West World, Vikings, House of Cards, Breaking Bad","Elasto Mania, Quake 3 Arena",E,0
2017/01/30 10:21:47 AM CET,24,Male,45,183,GAMES-T,This was a mandatory course for me,"Haxe, C#, C++, Java, JavaScript, Haskell",Android,Very interesting,Sounds interesting,Very interesting,Meh,Sounds interesting,Not interested,Sounds interesting,Not interested,Not interested,Not interested,Very interesting,Wordfeud;Minecraft;Star Wars Battlefield;Life is Strange;Stanley Parable;The Witness;Her Story;Counter Strike_ GO;The Magic Circle,Walk;Train;Metro,Atrium,Elevator,Class/Auditorium,Elevator,Atrium,Canteen,Atrium,Library,Atrium,Elevator,Study Room,Elevator,Atrium,ScrollBar,Atrium,"0, 1, 2, 3",Option 1,9,Ex Machina,Sherlock,Dark Souls,H,5
2017/01/30 10:21:54 AM CET,40,female,37,162,SDT-DT,This was a mandatory course for me,java,iOS,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Very interesting,Very interesting,Very interesting,Meh,Meh,Not interested,Sounds interesting,Candy Crush;Wordfeud;FarmVille;Angry Birds,Car,Not at ITU,Canteen,Class/Auditorium,Atrium,Analog,Atrium,Canteen,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,1050,Option 1,9,Top gun ,shamless ,Hay day ,2,3
2017/01/30 10:22:01 AM CET,30,male,41,175,GAMES-T,This was a mandatory course for me,"c, c++, c#, f#, java",Android,Meh,Sounds interesting,Not interested,Meh,Not interested,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Meh,Wordfeud;Minecraft;Fifa 2017;Stanley Parable;Fallout 4;Dragon Age: Inquisition;Angry Birds,Bike;Bus;Metro,Class/Auditorium,Atrium,Basement,Canteen,ScrollBar,Analog,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Elevator,Not at ITU,Not at ITU,Not at ITU,7 1 5 6,Option 1,7,Tjarkovskij's Solaris,Sopranos,King of Dragon Pass,D,7
2017/01/30 10:22:10 AM CET,25,male,40,169,SDT-DT,I am interested in the subject,"java, python, javascript",iOS,Sounds interesting,Meh,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Candy Crush;Wordfeud;Angry Birds;The Last of Us,Train;Metro,Atrium,Canteen,Library,Elevator,Class/Auditorium,Study Room,Analog,Study Room,Study Room,Analog,Canteen,Study Room,Analog,Study Room,Analog,1234,Option 1,Asparagus,Pulp Fiction,Nak og Ì_d,Skyrim,7,6
2017/01/30 10:22:10 AM CET,38,male,42.5,183,SDT-DT,I am interested in the subject,Java,Windows,Meh,Very interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Meh,Sounds interesting,Sounds interesting,I have not played any of these games,Train;Car;Metro,Atrium,Class/Auditorium,Atrium,Class/Auditorium,Not at ITU,Canteen,Atrium,Class/Auditorium,Not at ITU,Atrium,Class/Auditorium,Not at ITU,Atrium,Atrium,Atrium,"12, 15, 13, 14",Option 1,7,Fight club,Cosmos,sudoku,J,1
2017/01/30 10:22:11 AM CET,23,F,38,158,SDT-DT,I am interested in the subject,Java,iOS,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,FarmVille;Fifa 2017,Walk;Bus;Metro,Atrium,Analog,Atrium,Class/Auditorium,Atrium,Canteen,Atrium,Class/Auditorium,Atrium,ScrollBar,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"5, 8, 9, 14",Option 1,9,The Prestige,House of Cards,.,H,10
2017/01/30 10:22:13 AM CET,27,Male,43,181,SDT-SE,I am interested in the subject,Java,Ubuntu Touch,Meh,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Minecraft;FarmVille;Battlefield 4;Counter Strike_ GO;Angry Birds,Bus;Metro,Elevator,Class/Auditorium,Elevator,Analog,Elevator,Class/Auditorium,Elevator,Canteen,Elevator,Class/Auditorium,Study Room,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1,2,3,5",Option 1,7,The matrix,Vikings,Dota,C,7
2017/01/30 10:22:15 AM CET,26,Male,44,176,SDT-DT,I am interested in the subject,Java,iOS,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Not interested,Very interesting,Sounds interesting,Sounds interesting,Candy Crush;Wordfeud;Minecraft;Fifa 2017;Battlefield 4;Call of Duty: Black Ops;Rocket League,Car,Atrium,Class/Auditorium,Analog,Canteen,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"2,4,6,8",,9,"Donnie Brasco, Blood in Blood Out, American Gangster","Modern Family, Suits. Narcos, Peaky Blinders",Fifa 17,B,1
2017/01/30 10:22:17 AM CET,24,Male,44,180,GAMES-T,The other optional courses were least appealing,"C#, Java, C++, C, F#, Python",Android,Meh,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Meh,Sounds interesting,Very interesting,Sounds interesting,Minecraft;Counter Strike_ GO,Bike,Not at ITU,Basement,Atrium,Class/Auditorium,Atrium,Analog,Atrium,Class/Auditorium,Atrium,Canteen,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"2, 6, 9, 10",,Asparagus,Snatch,Game of Thrones,Dota 2,E,13
2017/01/30 10:22:19 AM CET,26,Male,"40,5",175,SDT-DT,I am interested in the subject,"java, python, javascript",iOS,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Meh,Meh,Sounds interesting,Sounds interesting,Meh,Candy Crush;Wordfeud;Journey;Dragon Age: Inquisition;The Last of Us,Train;Metro,Atrium,Canteen,Atrium,Class/Auditorium,Atrium,Canteen,Class/Auditorium,Atrium,Library,Analog,Atrium,Atrium,Atrium,Atrium,Atrium,9276,Option 1,13,Totoro,None,Final Fantasy 9,5,9
2017/01/30 10:22:28 AM CET,27,Female,39,172,DIM ,I am interested in the subject,"Java, Python",Android,Meh,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Candy Crush;FarmVille;I have not played any of these games,Bike;Car,Not at ITU,Atrium,Canteen,Analog,Class/Auditorium,Study Room,Library,Study Room,Analog,Atrium,Canteen,Atrium,ScrollBar,Not at ITU,Not at ITU,6457,Option 1,Asparagus,Imitation Game,"Stargate, Lost, Fargo",Theme Hospital ,A,13
2017/01/30 10:22:29 AM CET,30,Male,43,177,GAMES-T,This was a mandatory course for me,"C++, C, C#, Java, JavaScript, F#, LUA",Windows,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Meh,Sounds interesting,Meh,Wordfeud;Minecraft;Stanley Parable;Her Story;Angry Birds,Train;Metro,Elevator,Class/Auditorium,Elevator,Canteen,Elevator,Elevator,Elevator,Elevator,Elevator,Elevator,Elevator,Elevator,Elevator,Elevator,Elevator,"1,2,3,4",,7,N/A,Firefly,Space Engineers,I,12
2017/01/30 10:22:32 AM CET,23,F,37,155,SDT-SE,I am interested in the subject,Java,Android,Sounds interesting,Meh,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Meh,Very interesting,Very interesting,Sounds interesting,Angry Birds,Bike,Canteen,Elevator,Study Room,Elevator,Analog,Canteen,Elevator,Study Room,Study Room,Study Room,Study Room,Study Room,Elevator,Basement,Not at ITU,"10, 12, 13, 13",Option 1,13,Eat Pray Love,Bones,Solitaire,C,9
2017/01/30 10:22:36 AM CET,23,male,42,185,SDT-SE,I am interested in the subject,"Python, SQL, html5, javascript, php",iOS,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Meh,Call of Duty: Black Ops;Angry Birds,Bike;Walk,Not at ITU,Basement,Canteen,Elevator,Class/Auditorium,Library,Study Room,Analog,Atrium,ScrollBar,Class/Auditorium,Library,Class/Auditorium,ScrollBar,ScrollBar,"0, 1, 7, 10",Option 1,Asparagus,Ghost in the shell,mr robot,world of warcraftF,F,0
2017/01/30 10:22:40 AM CET,22,Male,40,160,SDT-SE,I am interested in the subject,"Java, Python, C#",Android,Meh,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Meh,Fifa 2017,Bus;Metro,Not at ITU,Not at ITU,Atrium,Basement,Basement,Basement,Basement,Atrium,Basement,Canteen,Canteen,Basement,Analog,ScrollBar,Canteen,"0, 7, 9, 13",,9,"The Best Offer, Gladiator",Friends,Fifa,C,5
2017/01/30 10:22:44 AM CET,29,M,43,185,SDT-AC,It may help me to find a job,"Java, C#, Pascal, PHP, C++, Python",Android,Meh,Very interesting,Sounds interesting,Meh,Meh,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Minecraft;Angry Birds,Train;Metro,Atrium,Class/Auditorium,Elevator,Study Room,Canteen,Library,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,7 9 11 3,Option 1,13,The day after tomorrow,no,don't play,C,10
2017/01/30 10:22:45 AM CET,27,Male,42,175,SDT-DT,I am interested in the subject,"Java, Scala, C##",Android,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Meh,Very interesting,Meh,Angry Birds;The Last of Us,Bike,Basement,Elevator,Analog,Class/Auditorium,Canteen,Study Room,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"4, 6,7,14",,9,Pulp fiction ,South Park ,Witcher ,K,4
2017/01/30 10:22:52 AM CET,28,Male,42,181,SDT-DT,It may help me to find a job,Java,Windows,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Candy Crush;Minecraft;FarmVille;Star Wars Battlefield;Life is Strange;Journey;Gone Home;Stanley Parable;Call of Duty: Black Ops;Rocket League;Bloodthorne;Rise of the Tomb Raider;The Witness;Fallout 4;Dragon Age: Inquisition;The Last of Us,Bike,Basement,Analog,Class/Auditorium,Canteen,ScrollBar,Elevator,Elevator,Elevator,Elevator,Study Room,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,"1, 2, 3.42343543543, 4",,13,The Matrix part 2 and 3 not 1,Firefly,The Last of Us,Z,?
2017/01/30 10:22:56 AM CET,24,male,42,183,SDT-SE,I am interested in the subject,"java, pascal, sql",iOS,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Meh,Meh,Sounds interesting,Sounds interesting,Candy Crush;Minecraft;FarmVille;Fifa 2017;Star Wars Battlefield;Life is Strange;Battlefield 4;Rocket League;Counter Strike_ GO;Angry Birds;The Last of Us,Bus,Class/Auditorium,Analog,Basement,Class/Auditorium,Study Room,Elevator,ScrollBar,Atrium,Library,Canteen,Not at ITU,Basement,Canteen,Basement,Library,"3, 7, 13, 9",Option 1,9,kung fury,rick and morty,heroes of the storm,f,1
2017/01/30 10:22:57 AM CET,26,Male,43,185,GAMES-T,This was a mandatory course for me,"C#, C++, Java, C, LUA, JavaScript, F#, VB.NET",Android,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Meh,Sounds interesting,Meh,Meh,Very interesting,Very interesting,Sounds interesting,Candy Crush;Wordfeud;Minecraft;FarmVille;Fifa 2017;Call of Duty: Black Ops;Rise of the Tomb Raider;Counter Strike_ GO;Angry Birds,Bike;Train;Bus;Metro,Atrium,Elevator,Class/Auditorium,Elevator,Atrium,Canteen,Elevator,Class/Auditorium,Elevator,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"3, 7, 11, 13",Option 1,13,N/A,How I met Your mother,Heroes of the Storm,I,11
2017/01/30 10:23:02 AM CET,23,Male,41,172,SDT-SE,I am interested in the subject,"Java, SQL, PHP, HTML, JavaScript, C#, Python, C, C++, CSS",Windows,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Candy Crush;Wordfeud;Minecraft;Stanley Parable;Call of Duty: Black Ops;Rise of the Tomb Raider;Counter Strike_ GO;The Last of Us,Bike,Basement,Elevator,Atrium,Class/Auditorium,Study Room,Elevator,Canteen,Elevator,Class/Auditorium,Study Room,Elevator,Basement,Not at ITU,Not at ITU,Not at ITU,6 7 9 11,Option 1,9,Lord of the Rings,Friends,League of Legends,C,8
2017/01/30 10:23:08 AM CET,24,Male,40,174,SDT-SE,I am interested in the subject,"Java,C++,Python,C#",Android,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Meh,Meh,Sounds interesting,Minecraft;Stanley Parable;Rocket League;Rise of the Tomb Raider;The Last of Us,Bike,Atrium,Class/Auditorium,Analog,Canteen,ScrollBar,Library,Study Room,Elevator,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1,14,9,15",,9,Lord of the Rings,Game of Thrones,Overwatch,G,7
2017/01/30 10:23:08 AM CET,26,Male,42,180,GAMES-T,This was a mandatory course for me,"C#, C++, Java, HTML, CSS, javascript, php, puredata, arduino, processing, Android.",Android,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Candy Crush;Wordfeud;Minecraft;FarmVille;Fifa 2017;Star Wars Battlefield;Life is Strange;Battlefield 4;Journey;Call of Duty: Black Ops;Rocket League;Rise of the Tomb Raider;Fallout 4;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds;The Last of Us,Bike;Walk,Basement,Elevator,Atrium,Class/Auditorium,Elevator,Atrium,Analog,Atrium,Class/Auditorium,Elevator,Atrium,Canteen,Atrium,Not at ITU,Not at ITU,"7, 3, 13, 0",,7,Dont know,Flash,Diablo 2,C,4
2017/01/30 10:23:56 AM CET,28,male,44,188,SDT-DT,I am interested in the subject,Java,iOS,Meh,Meh,Not interested,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Meh,Meh,Meh,Counter Strike_ GO;Angry Birds,Metro,Atrium,Library,Class/Auditorium,Canteen,Analog,Atrium,Basement,ScrollBar,Analog,Class/Auditorium,Class/Auditorium,Library,Analog,Class/Auditorium,Analog,"3,4,5,6",Option 1,7,Drive,House of cards,CS,F,15
2017/01/30 10:25:52 AM CET,28,male,42,179cm,SDT-DT,I am interested in the subject,"Java, Jvascript",Android,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Very interesting,Sounds interesting,Candy Crush;FarmVille;Fifa 2017;Angry Birds,Metro,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,ScrollBar,"3,6,8,9",,9,Bat man,Empire,Candy,D,8
2017/01/30 10:28:18 AM CET,25,Male,45,182,SDT-DT,I am interested in the subject,"Java, PHP, Scala, Android, JS, BASH, Python, Powershell, BATCH, C#, VB",Android,Sounds interesting,Very interesting,Sounds interesting,Meh,Very interesting,Meh,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Meh,Candy Crush;Wordfeud;Minecraft;FarmVille;Star Wars Battlefield;Rise of the Tomb Raider;Counter Strike_ GO;Angry Birds;The Last of Us,Bike,Elevator,Basement,Atrium,Study Room,Class/Auditorium,Canteen,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"5, 5, 7, 9",Option 1,13,"The Shawshank Redemption, Escape from new york, Shooter","Breaking Bad, Big Bang Theory, Friends","Ratchet and Clank, Jak & Daxter, Last of us",G,0
2017/01/30 10:28:55 AM CET,35,Male,42,173,SDT-SE,I am interested in the subject,"Erlang, Scala, Java, F#, Haskell, Javascript, C#, Python ",Android,Meh,Very interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Meh,Very interesting,Sounds interesting,I have not played any of these games,Bike,Basement,Canteen,Analog,Library,Class/Auditorium,Elevator,Study Room,ScrollBar,Atrium,Analog,Basement,Canteen,Analog,Basement,ScrollBar,"6,9,3,7",,9,My neighbor Totoro,Breaking bad,Draconus,C,15
2017/01/30 10:34:20 AM CET,25,Female,37,160,SDT-SE,I am interested in the subject,"C#, Java, F#, golang, C",Android,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Sounds interesting,Not interested,Sounds interesting,Sounds interesting,Meh,Meh,Sounds interesting,Wordfeud;FarmVille;Rocket League;Fallout 4,Walk,Atrium,Elevator,Class/Auditorium,Atrium,Analog,Elevator,Class/Auditorium,Atrium,Canteen,Elevator,Study Room,Atrium,Analog,Elevator,Study Room,"1,2,15,8",,13,The Intouchables,"Game of Thrones, American Dad",Skyrim,NA - sick at home,NA - sick at home